"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"240","Vardhman Textiles Limited","VTL","P&F | F.A","13.03%","450.2","2,56,66,731"
"763","Elgi Rubber Company Limited","ELGIRUBCO","P&F | F.A","12.73%","71.37","14,01,657"
"576","Reliable Data Services Ltd","RELIABLE","P&F | F.A","9.99%","149.01","6,64,894"
"796","Ola Electric Mobility Ltd","OLAELEC","P&F | F.A","7.91%","54.84","77,94,20,321"
"348","Advanced Enzyme Technologies Limited","ADVENZYMES","P&F | F.A","7.39%","324.15","66,91,820"
"665","Lotus Eye Care Hospital Limited","LOTUSEYE","P&F | F.A","5.5%","109.22","3,22,658"
"375","Thirumalai Chemicals Limited","TIRUMALCHM","P&F | F.A","5.45%","297","6,78,951"
"229","MSTC Ltd","MSTCLTD","P&F | F.A","5.35%","461.85","16,53,985"
"400","NACL Industries Ltd","NACLIND","P&F | F.A","5%","272.2","1,22,711"
"178","Royal Orchid Hotels Limited","ROHLTD","P&F | F.A","4.9%","526.7","15,05,001"
"14","India Shelter Finance Corporation Ltd","INDIASHLTR","P&F | F.A","4.64%","952.1","6,01,940"
"596","RBZ Jewellers Ltd","RBZJEWEL","P&F | F.A","4.56%","139.25","1,76,100"
"327","Crizac Ltd","CRIZAC","P&F | F.A","4.23%","349.7","21,44,290"
"116","Vimta Labs Limited","VIMTALABS","P&F | F.A","4.2%","657.75","11,19,802"
"784","RattanIndia Enterprises Ltd","RTNINDIA","P&F | F.A","4.09%","60.58","8,33,00,812"
"598","Bharat Seats Ltd","BHARATSE","P&F | F.A","3.92%","138.95","1,26,186"
"325","Triveni Engineering & Industries Limited","TRIVENI","P&F | F.A","3.7%","351.75","8,71,621"
"111","Rossell Techsys Ltd","ROSSTECH","P&F | F.A","3.6%","674.7","1,43,083"
"272","Denta Water & Infra Solutions Ltd","DENTA","P&F | F.A","3.56%","409.85","15,19,625"
"674","Tamilnadu Petroproducts Limited","TNPETRO","P&F | F.A","3.56%","105.23","4,80,500"
"47","Aarti Pharmalabs Ltd","AARTIPHARM","P&F | F.A","3.33%","845.95","3,02,708"
"660","Ester Industries Limited","ESTER","P&F | F.A","3.28%","110.81","10,60,499"
"612","JTEKT India Ltd","JTEKTINDIA","P&F | F.A","3%","134.01","2,06,49,003"
"575","Inox Green Energy Services Ltd","INOXGREEN","P&F | F.A","2.8%","149.49","2,61,391"
"631","Remsons Industries Limited","REMSONSIND","P&F | F.A","2.74%","120.17","2,23,935"
"514","Elin Electronics Ltd","ELIN","P&F | F.A","2.7%","183.99","70,438"
"743","Restaurant Brands Asia Ltd","RBA","P&F | F.A","2.65%","79.82","10,68,656"
"744","GHCL Textiles Ltd","GHCLTEXTIL","P&F | F.A","2.61%","79.11","2,00,175"
"707","Rico Auto Industries Limited","RICOAUTO","P&F | F.A","2.6%","90.43","37,92,867"
"383","Puravankara Projects Limited","PURVA","P&F | F.A","2.56%","288","2,60,384"
"661","Edelweiss Financial Services Limited","EDELWEISS","P&F | F.A","2.54%","110.66","3,13,06,464"
"315","Goldiam International Limited","GOLDIAM","P&F | F.A","2.41%","358.8","10,18,718"
"44","Avalon Technologies Ltd","AVALON","P&F | F.A","2.39%","863.85","2,53,913"
"191","Kalyan Jewellers India Ltd","KALYANKJIL","P&F | F.A","2.36%","510.15","73,54,852"
"495","Engineers India Limited","ENGINERSIN","P&F | F.A","2.35%","200.27","42,64,872"
"399","Reliance Infrastructure Limited","RELINFRA","P&F | F.A","2.25%","273.05","10,65,425"
"702","Ganesh Benzoplast Ltd","GANESHBE","P&F | F.A","2.14%","94.46","90,153"
"448","Bajaj Consumer Care Ltd","BAJAJCON","P&F | F.A","2.11%","234.35","14,84,395"
"713","Delta Corp Limited","DELTACORP","P&F | F.A","2.05%","87.99","53,83,030"
"221","Kolte - Patil Developers Limited","KOLTEPATIL","P&F | F.A","2.04%","469.7","3,33,920"
"228","Swan Energy Limited","SWANENERGY","P&F | F.A","1.94%","462.55","19,34,082"
"519","Thomas Cook  (india)  Limited","THOMASCOOK","P&F | F.A","1.92%","177.54","17,33,981"
"92","Westlife Development Ltd","WESTLIFE","P&F | F.A","1.89%","721.5","1,36,814"
"669","Khaitan Chemicals & Fertilizers Ltd","KHAICHEM","P&F | F.A","1.83%","106.8","99,945"
"246","Star Health & Allied Insurance Company Ltd","STARHEALTH","P&F | F.A","1.77%","442.75","6,02,002"
"442","Kansai Nerolac Paints Limited","KANSAINER","P&F | F.A","1.7%","238.04","2,19,353"
"479","Vaibhav Global Limited","VAIBHAVGBL","P&F | F.A","1.7%","211.24","11,28,213"
"338","Gokul Agro Resources Limited","GOKULAGRO","P&F | F.A","1.69%","336","2,21,599"
"342","Moil Limited","MOIL","P&F | F.A","1.68%","330.5","5,18,526"
"345","Baazar Style Retail Ltd","STYLEBAAZA","P&F | F.A","1.67%","325.65","3,93,179"
"265","Vip Industries Limited","VIPIND","P&F | F.A","1.63%","420.25","5,35,114"
"517","Standard Glass Lining Technology Ltd","SGLTL","P&F | F.A","1.6%","181.87","1,81,661"
"543","Lemon Tree Hotels Ltd","LEMONTREE","P&F | F.A","1.58%","167.8","45,50,659"
"708","NDL Ventures Ltd","NDLVENTURE","P&F | F.A","1.56%","90.22","21,451"
"31","Protean eGov Technologies Ltd","PROTEAN","P&F | F.A","1.53%","896.85","28,28,909"
"122","InfoBeans Technologies Ltd","INFOBEAN","P&F | F.A","1.51%","640.6","1,10,142"
"86","Syrma SGS Technology Ltd","SYRMA","P&F | F.A","1.47%","738.6","9,44,962"
"171","Deep Industries Ltd","DEEPINDS","P&F | F.A","1.45%","540","1,89,942"
"65","Jindal Stainless Limited","JSL","P&F | F.A","1.41%","806.45","23,50,371"
"42","Natco Pharma Limited","NATCOPHARM","P&F | F.A","1.39%","867.15","3,49,020"
"147","Ramkrishna Forgings Limited","RKFORGE","P&F | F.A","1.36%","572.8","4,82,141"
"270","Gujarat Mineral Development Corporation Limited","GMDCLTD","P&F | F.A","1.33%","415.1","17,47,065"
"768","B. L. Kashyap And Sons Limited","BLKASHYAP","P&F | F.A","1.31%","69.5","3,16,517"
