symbol,exchange,quantity,type
VTL,NSE,22,MIS
ELGIRUBCO,NSE,140,MIS
RELIABLE,NSE,67,MIS
OLAELEC,NSE,182,MIS
ADVENZYMES,NSE,31,MIS
LOTUSEYE,NSE,92,MIS
TIRUMALCHM,NSE,34,MIS
MSTCLTD,NSE,22,MIS
NACLIND,NSE,37,MIS
ROHLTD,NSE,19,MIS
INDIASHLTR,NSE,11,MIS
RBZJEWEL,NSE,72,MIS
CRIZAC,NSE,29,MIS
VIMTALABS,NSE,15,MIS
RTNINDIA,NSE,165,MIS
BHARATSE,NSE,72,MIS
TRIVENI,NSE,28,MIS
ROSSTECH,NSE,15,MIS
DENTA,NSE,24,MIS
TNPETRO,NSE,95,MIS
AARTIPHARM,NSE,12,MIS
ESTER,NSE,90,MIS
JTEKTINDIA,NSE,75,MIS
INOXGREEN,NSE,67,MIS
REMSONSIND,NSE,83,MIS
ELIN,NSE,54,MIS
RBA,NSE,125,MIS
GHCLTEXTIL,NSE,126,MIS
RICOAUTO,NSE,111,MIS
PURVA,NSE,35,MIS
EDELWEISS,NSE,90,MIS
GOLDIAM,NSE,28,MIS
AVALON,NSE,12,MIS
KALYANKJIL,NSE,20,MIS
ENGINERSIN,NSE,50,MIS
RELINFRA,NSE,37,MIS
GANESHBE,NSE,106,MIS
BAJAJCON,NSE,43,MIS
DELTACORP,NSE,114,MIS
KOLTEPATIL,NSE,21,MIS
SWANENERGY,NSE,22,MIS
THOMASCOOK,NSE,56,MIS
WESTLIFE,NSE,14,MIS
KHAICHEM,NSE,94,MIS
STARHEALTH,NSE,23,MIS
KANSAINER,NSE,42,MIS
VAIBHAVGBL,NSE,47,MIS
GOKULAGRO,NSE,30,MIS
MOIL,NSE,30,MIS
STYLEBAAZA,NSE,31,MIS
VIPIND,NSE,24,MIS
SGLTL,NSE,55,MIS
LEMONTREE,NSE,60,MIS
NDLVENTURE,NSE,111,MIS
PROTEAN,NSE,11,MIS
INFOBEAN,NSE,16,MIS
SYRMA,NSE,14,MIS
DEEPINDS,NSE,19,MIS
JSL,NSE,12,MIS
NATCOPHARM,NSE,12,MIS
RKFORGE,NSE,17,MIS
GMDCLTD,NSE,24,MIS
BLKASHYAP,NSE,144,MIS
MARATHON,NSE,16,MIS
SCI,NSE,47,MIS
BIRLAMONEY,NSE,55,MIS
HBLENGINE,NSE,13,MIS
NIITMTS,NSE,30,MIS
PSPPROJECT,NSE,14,MIS
SUBROS,NSE,11,MIS
MOLDTKPAC,NSE,13,MIS
CUPID,NSE,58,MIS
JSWINFRA,NSE,33,MIS
MONQ50,NSE,123,MIS
DOLATALGO,NSE,124,MIS
MUTHOOTMF,NSE,65,MIS
GROWWSLVR,NSE,86,MIS
SAGCEM,NSE,39,MIS
DCXINDIA,NSE,38,MIS
GOLDETFADD,NSE,101,MIS
SILVRETF,NSE,87,MIS
PETRONET,NSE,37,MIS
GOCOLORS,NSE,14,MIS
GUJAPOLLO,NSE,19,MIS
SILVERADD,NSE,88,MIS
TDPOWERSYS,NSE,20,MIS
FLAIR,NSE,32,MIS
SANDUMA,NSE,23,MIS
INDOSTAR,NSE,38,MIS
NYKAA,NSE,43,MIS
WEL,NSE,76,MIS
ADSL,NSE,63,MIS
SILVER,NSE,85,MIS
BRIGADE,NSE,10,MIS
GOKEX,NSE,14,MIS
TANLA,NSE,16,MIS
SBISILVER,NSE,87,MIS
SILVERIETF,NSE,85,MIS
DIFFNKG,NSE,28,MIS
IZMO,NSE,14,MIS
FUSION,NSE,59,MIS
SILVERETF,NSE,88,MIS
PARAGMILK,NSE,43,MIS
HDFCSILVER,NSE,89,MIS
WINDLAS,NSE,10,MIS
